Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
96	298	0	1.10710472	101313.586	101313.168	101308.641	101314.401	5.13161396	0.889218566	17.3	29169.2	0	0	3
97	301	0	1.11863706	101313.678	101313.283	101309.162	101314.401	4.56877754	0.889218566	19.4	29315.5	0	0	3
98	303	0	1.1301694	101313.492	101313.381	101309.403	101314.401	4.07409609	0.889218566	21.8	29281.7	0	0	3
99	306	0	1.14170174	101313.421	101313.473	101310.112	101314.401	3.60977318	0.889218566	24.6	29258.1	0	0	3
100	309	0	1.15323408	101313.556	101313.551	101310.64	101314.401	3.1684034	0.889218566	28	29351.8	0	0	3
101	311	0	1.16476643	101313.53	101313.617	101311.424	101314.401	2.74497217	0.889218566	32.3	29344	0	0	3
102	313	0	1.17629877	101313.451	101313.663	101311.799	101314.401	2.3927972	0.889218566	37.1	29231.8	0	0	3
103	316	0	1.18783111	101313.564	101313.703	101312.423	101314.401	1.97749201	0.889218566	44.9	29330.9	0	0	3
104	318	0	1.19936345	101313.638	101313.73	101312.926	101314.401	1.47491883	0.889218566	60.2	29222.2	0	0	3
105	320	0	1.21089579	101313.518	101313.744	101313.274	101314.401	1.12658795	0.889218566	78.9	29181.8	0	0	3
106	322	0	1.22242813	101313.379	101313.746	101313.379	101314.401	1.02175069	0.889218566	87	29220.7	0	0	3
107	324	0	1.23396047	101313.379	101313.74	101313.379	101314.401	1.02176254	0.889218566	87	29245.2	0	0	3
108	326	0	1.24549281	101313.435	101313.733	101313.379	101314.401	1.02176254	0.889218566	87	29092.1	0	0	3
109	328	0	1.25702515	101313.55	101313.723	101313.379	101314.401	1.02176254	0.889218566	87	29276.2	0	0	3
110	330	0	1.26855749	101313.439	101313.707	101313.379	101314.401	1.02176254	0.889218566	87	29113.5	0	0	3
111	333	0	1.28008983	101313.454	101313.689	101313.379	101314.401	1.02176254	0.889218566	87	29139.9	0	0	3
112	335	0	1.29162217	101313.518	101313.671	101313.379	101314.401	1.02176254	0.889218566	87	29138.2	0	0	3
113	337	0	1.30315452	101313.538	101313.655	101313.379	101314.401	1.02176254	0.889218566	87	29198.9	0	0	3
114	339	0	1.31468686	101313.48	101313.634	101313.379	101314.087	0.707970648	0.889218566	100	29094.1	0	0	3
